Country,Percentage,Submission,Population
Argentina,0.000034411246512993686,15,43590400
Australia,0.00036488239177090697,88,24117360
Austria,0.00032088266570065707,28,8725931
Azerbaijan,0.000010276964184779816,1,9730500
Bahamas,0.00026452227277536767,1,378040
Belgium,0.0005918983602736902,67,11319511
Brazil,0.000025226077440089482,52,206135893
Bulgaria,0.00002795723214455455,2,7153784
Canada,0.00027105152808479667,98,36155487
Chile,0.00002198780776059675,4,18191900
China,8.711926013828936e-7,12,1377422166
Colombia,0.00001845776815476338,9,48759958
Croatia,0.0003579380762355605,15,4190669
Czech Republic,0.00025571756052266396,27,10558524
Denmark,0.0012419070514782717,71,5717014
Finland,0.0002002980070166213,11,5491817
France,0.0006475790736021586,432,66710000
Georgia,0.00010751532093323298,4,3720400
Germany,0.0001369680411980301,112,81770900
Greece,0.00012893697542221795,14,10858018
Guatemala,0.000006181947193436157,1,16176133
Hungary,0.000020360378703043877,2,9823000
Iceland,0.0002991325157044571,1,334300
India,5.40452899529806e-7,7,1295210000
Ireland,0.000015678896205707117,1,6378000
Israel,0.00005863451931421067,5,8527400
Italy,0.00019780583547324905,120,60665551
Japan,0.00003701953371140517,47,126960000
Latvia,0.0003058727569331158,6,1961600
Lithuania,0.00006963075506894489,2,2872294
Mexico,0.00000572487214786154,7,122273473
Netherlands,0.000969459100576975,165,17019800
New Zealand,0.000596016819594649,28,4697854
Norway,0.0009955476047890433,52,5223256
Paraguay,0.00002917775907807618,2,6854536
Philippines,0.000003872974192436469,4,103279800
Poland,0.0001196756093745443,46,38437239
Portugal,0.00025060670920426395,26,10374822
Romania,0.00003524422840515637,7,19861408
Russia,0.000023874621456792157,35,146599183
Serbia,0.00019784149278754707,14,7076372
Singapore,0.0002168021680216802,12,5535000
Slovakia,0.00007371570653187503,4,5426252
Slovenia,0.00014533559927681008,3,2064188
South Africa,0.000007187308851275067,4,55653654
Spain,0.0001378169137616261,64,46438422
Sweden,0.0004749927437278724,47,9894888
Switzerland,0.0004915124196796778,41,8341600
Thailand,0.000001530745357264639,1,65327652
Turkey,0.000005079942225309077,4,78741053
USA,0.0002188629621512161,709,323947000
Ukraine,0.00004450441557586149,19,42692393
United Arab Emirates,0.000040584415584415584,4,9856000
United Kingdom,0.0004899401013669175,319,65110000
Venezuela,0.000003222822741526394,1,31028700
